"","n","a","b","t"
"1",1500,8,17,0.448791980743408
"2",1500,8,22,4.19502186775208
"3",1500,8,24,15.3436169624329
"4",1500,8,22,4.15975499153137
"5",1500,8,21,2.31837201118469
"6",1500,8,14,0.311347007751465
"7",1500,8,26,1.05980360110601
"8",1500,8,23,8.6086049079895
"9",1500,8,20,1.4123330116272
"10",1500,8,21,2.49879598617554
"11",1500,8,20,1.46196603775024
"12",1500,8,14,0.362979888916016
"13",1500,8,20,1.49147796630859
"14",1500,8,25,32.2054080963135
"15",1500,8,21,2.36334681510925
"16",1500,8,28,4.21111214955648
"17",1500,8,25,32.1589481830597
"18",1500,8,26,1.04836278359095
"19",1500,8,20,1.27490377426147
"20",1500,8,14,0.307849884033203
"21",1500,8,28,4.19906571706136
"22",1500,8,21,2.34950089454651
"23",1500,8,27,2.07103710174561
"24",1500,8,14,0.333692789077759
"25",1500,8,27,2.25618721644084
"26",1500,8,23,8.46414995193481
"27",1500,8,27,2.19802354971568
"28",1500,8,23,8.53662800788879
"29",1500,8,28,4.23905888001124
"30",1500,8,24,15.9735321998596
"31",1500,8,25,31.8346869945526
"32",1500,8,25,31.8752779960632
"33",1500,8,24,16.4064450263977
"34",1500,8,17,0.475275993347168
"35",1500,8,27,2.13549271424611
"36",1500,8,26,1.05153445005417
"37",1500,8,21,2.3633918762207
"38",1500,8,26,1.0433911840121
"39",1500,8,21,2.32542896270752
"40",1500,8,22,4.30920004844666
"41",1500,8,20,1.38640403747559
"42",1500,8,25,31.5273489952087
"43",1500,8,24,15.9117121696472
"44",1500,8,25,31.3725810050964
"45",1500,8,14,0.314826965332031
"46",1500,8,23,8.48895406723022
"47",1500,8,27,2.10486571788788
"48",1500,8,14,0.325942993164062
"49",1500,8,14,0.321940183639526
"50",1500,8,14,0.325838804244995
"51",1500,8,27,2.1385458668073
"52",1500,8,23,8.25747108459473
"53",1500,8,20,1.30702805519104
"54",1500,8,20,1.48002886772156
"55",1500,8,25,34.6463680267334
"56",1500,8,28,4.31528014739354
"57",1500,8,14,0.298963069915771
"58",1500,8,22,4.21082305908203
"59",1500,8,21,2.29019594192505
"60",1500,8,17,0.432147979736328
"61",1500,8,22,4.23042798042297
"62",1500,8,24,15.6206469535828
"63",1500,8,23,8.42870402336121
"64",1500,8,27,2.09825178384781
"65",1500,8,17,0.456344127655029
"66",1500,8,28,4.3916604479154
"67",1500,8,26,1.15116251707077
"68",1500,8,22,6.53642416000366
"69",1500,8,23,8.35758805274963
"70",1500,8,14,0.314509153366089
"71",1500,8,25,32.9690380096436
"72",1500,8,27,2.39224418401718
"73",1500,8,26,1.1049608151118
"74",1500,8,20,1.2974910736084
"75",1500,8,28,4.24911654790243
"76",1500,8,20,1.30199003219604
"77",1500,8,28,4.29350905021032
