"","n","a","b","t"
"1",15000,20,16,3.69883799552917
"2",3700,20,16,1.25804901123047
"3",9000,20,16,2.13729095458984
"4",3700,20,16,1.34811305999756
"5",2000,20,16,1.24603414535522
"6",9000,20,16,2.31548190116882
"7",3300,20,16,1.4952118396759
"8",3700,20,16,1.42067384719849
"9",9000,20,16,2.15526604652405
"10",7000,20,16,1.75335097312927
"11",9000,20,16,2.30417585372925
"12",7000,20,16,2.0378201007843
"13",9000,20,16,1.93496584892273
"14",12000,20,16,2.86812901496887
"15",7000,20,16,1.76566600799561
"16",2000,20,16,1.1444890499115
"17",3700,20,16,1.43106603622437
"18",7000,20,16,1.94601607322693
"19",5000,20,16,1.88715982437134
"20",2000,20,16,1.21803998947144
"21",3300,20,16,1.5041868686676
"22",3700,20,16,1.36766386032104
"23",5000,20,16,1.48100614547729
"24",3300,20,16,1.61292791366577
"25",2000,20,16,1.12364292144775
"26",7000,20,16,1.77202987670898
"27",3300,20,16,1.68215799331665
"28",15000,20,16,4.25695204734802
"29",3300,20,16,2.05360102653503
"30",15000,20,16,5.36791205406189
"31",2000,20,16,1.86822605133057
"32",12000,20,16,4.16974091529846
"33",3700,20,16,2.0341010093689
"34",2000,20,16,1.61542987823486
"35",12000,20,16,3.27829217910767
"36",2000,20,16,1.36031103134155
"37",3700,20,16,1.65297484397888
"38",5000,20,16,1.77060699462891
"39",15000,20,16,3.31608414649963
"40",15000,20,16,3.94910502433777
"41",9000,20,16,2.00503206253052
"42",2000,20,16,1.40633797645569
"43",3700,20,16,1.41072511672974
"44",12000,20,16,2.73785090446472
"45",7000,20,16,1.78317189216614
"46",3700,20,16,1.24710512161255
"47",9000,20,16,2.06217813491821
"48",7000,20,16,1.65934205055237
"49",3300,20,16,1.3280348777771
"50",3700,20,16,1.34103393554688
"51",7000,20,16,1.85571908950806
"52",15000,20,16,3.50593209266663
"53",2000,20,16,1.27676892280579
"54",12000,20,16,2.89249515533447
"55",9000,20,16,2.19437384605408
"56",7000,20,16,1.71350812911987
"57",2000,20,16,1.06796598434448
"58",5000,20,16,1.42905497550964
"59",9000,20,16,2.10623216629028
"60",5000,20,16,1.45546817779541
"61",12000,20,16,3.07330083847046
"62",5000,20,16,1.56393218040466
"63",2000,20,16,1.04434204101562
"64",9000,20,16,2.53275418281555
"65",15000,20,16,3.61831212043762
"66",3300,20,16,1.53354001045227
"67",15000,20,16,3.46749210357666
"68",7000,20,16,1.89357590675354
"69",2000,20,16,1.25409007072449
"70",2000,20,16,1.5374538898468
"71",15000,20,16,5.17183303833008
"72",3300,20,16,1.80675792694092
"73",3300,20,16,2.0947961807251
"74",3700,20,16,2.06031918525696
"75",12000,20,16,4.09412097930908
"76",15000,20,16,4.02280902862549
"77",9000,20,16,2.62456202507019
"78",12000,20,16,3.23763298988342
"79",3700,20,16,1.74990797042847
"80",7000,20,16,2.50047278404236
"81",12000,20,16,2.86731886863708
"82",3700,20,16,1.26438307762146
"83",3700,20,16,1.36269903182983
"84",7000,20,16,1.94547891616821
"85",15000,20,16,3.54055500030518
"86",7000,20,16,1.71051907539368
"87",9000,20,16,2.38482093811035
"88",15000,20,16,3.33528995513916
"89",5000,20,16,1.93693709373474
"90",15000,20,16,3.5614869594574
"91",2000,20,16,1.13629102706909
"92",12000,20,16,3.10255908966064
"93",7000,20,16,2.18499207496643
"94",2000,20,16,1.30579590797424
"95",7000,20,16,1.65521097183228
"96",12000,20,16,2.95301103591919
"97",3300,20,16,1.45818901062012
"98",7000,20,16,1.82090210914612
"99",2000,20,16,1.12393999099731
"100",15000,20,16,3.502032995224
